Date,ChordType,PivotNote,Tempo,Grade
2024-03-04,7sus4,7,60,5
2024-03-04,7sus4,#11,80,3
2024-03-05,7sus4,5,60,4
Date,ChordType,PivotNote,Tempo,Grade
2024-03-10,7sus4,7,80,5
Date,ChordType,PivotNote,Tempo,Grade
2024-03-12,Dorian,5,80,5
Date,ChordType,PivotNote,Tempo,Grade
2024-03-12,Dorian,5,80,5
